IDCOMMANDES;NUMCOMMANDE;IDOFFRES;DATECOMMANDE;MONTANTHONOTAIRE;DATEDEMARRAGE;DUREE;NUMAFFAIRE;ADRESSEFACTURATION;EXONERETVA;PRECOMPTETVA
49;P-029A-08/BD;54;14/03/2008;5800000;14/03/2008;15 mois;1278-CT-08;Cabinet Omar HACHEM DAKAR;0;0
50;P-059A-08/SN;55;07/03/2008;15254237;07/03/2008;18 mois;1273-CT-08;"Km 18.5 route de Rufisque
BP 20950 - THIAROYE";0;0
51;P-025-08/BD;56;25/02/2008;16949152;25/02/2008;12 mois;1268-CT-08;"avenue Bourguiba / libertÈ 1 villa N∞1036
DAKAR";0;0
52;P-053/08/BD;57;06/03/2008;200000;06/03/2008;;1270-CT-08;20 avenue cheikh ahmadou bamba immeuble khadimou rassoul;0;0
53;P-062A-08/MP;58;27/03/2008;3200000;28/03/2008;15 jours ouvrÇs aprËs rÇalisation des sondages;1283-CT-08;TRS AFRIQUE - MONSIEUR LE dIRECTEUR GENERAL;0;0
54;P-182-07;59;23/03/2008;2250000;26/03/2008;4 mois;1280-CT-08;"1, place de l'indÈpendance 
BP 129-DAKAR";0;0
57;P-057-08/EMK;61;23/03/2008;100000;23/03/2008;;1282-CT-08;"38, Avenue Malick SY 
DAKAR";0;0
58;P-311B-06/BD;62;26/03/2007;2500000;26/03/2007;;1089-CT-07;COrniche Ouest x rue 9 DAKAR;0;0
59;06/141;63;26/09/2006;5500000;26/09/2006;10 mois;1008-CT-06;AmitiÈ3, villa N∞4334 Avenue Bourguiba;0;0
62;P-068-08/BD;66;25/03/2008;211864;25/03/2008;05 JOURS OUVRABLES ;1284-CT-08;"Dynamic MatÈriaux et Travaux
43 x Boulevard GÈnÈral de Gaulle
TÇl: 33 842 38 69 /DAKAR
";0;0
63;P-067-08/BD;67;27/03/2008;211864;27/03/2008;05 JOURS OUVRABLES ;1285-CT-08;"Dynamic MatÈriaux er Travaux
DMT
43, angle Boulevard GÇnäral de Gaulle
tÇl :33 842 38 69  
DAKAR";0;0
64;P-135A-04/BE;68;06/06/2004;3182500;19/07/2004;8 mois;551-CT-04;BP 146 MBOUR;0;0
65;P-136A-04/BE;69;06/06/2004;3944400;19/07/2004;8 mois;552-CT-04; BP 146 MBOUR;0;0
66;P-293-04/MP;70;28/12/2004;1600000;28/12/2004;6 mois;659-CT-04; BP 146 MBOUR;0;0
67;P-059-05/BD;71;09/03/2005;4500000;14/07/2005;8 mois;695-CT-05; BP 146 MBOUR;0;0
68;P-127-06/BD;72;01/06/2006;3500000;09/06/2006;8 mois;950-CT-06; BP 146 MBOUR;0;0
69;P-091B-08/BD;74;03/03/2008;4000000;13/03/2008;9 mois;1269-CT-08;Route de NGOR;0;0
70;P-281-07/BD;75;15/11/2007;1000000;10/12/2007;6 mois;1213-CT-07;N∞7 Nord Foire  -  DAKAR;0;0
71;P-132-07/BD;76;23/02/2007;1700000;07/09/2007;5 mois;1161-CT-07;"km 4.8 Bd. Du centenaire de la commune 
DAKAR";0;0
75;P-269-07/BD;79;16/04/2008;1600000;16/04/2008;12 mois;1293-CT-08;"CAbINET GUEYE ARCHI URBA
MONSIEUR GUEYE
Avenue Cheikh A. Bamba x Rue 38 (en face place de l'obÇlisuque)
BP 12554 - Colobane
DAKAR";0;0
76;P-054-08/BD;80;15/04/2008;300000;15/04/2008;15 jours ouvrables ;1292-CT-08;"Mme Marie JosÈ CRESPIN 
Rue Saint Germain - GorÈe";0;0
77;P-032-08/BD;81;11/04/2008;3600000;01/05/2008;10 mois;1288-CT-08;BP 1270-DAKAR;0;0
78;P-018-08/BD;82;30/01/2008;200000;05/05/2008;;1256-CT-08;Km 3, Bd. Du centenaire de la commune de Dakar;0;0
79;P-038-08/MP;83;11/02/2008;150000;11/02/2008;;1263-CT-08;"Avenue FÈlix Eboue x Route deS Brasseries 
BP 737-DAKAR";0;0
80;P-296A-07/BD ;84;16/01/2008;2000000;17/01/2008;;1245-CT-08;Lot N∞10 libertÈ VI extension BP 7084 - DAKAR MEDINA;0;0
81;P-087-08/MP;85;16/04/2008;200000;16/04/2008;05 JOURS OUVRABLES  ;1294-CT-08;OCTA SARL / Monsieur le Directeur N∞ 121, Grand Yoff BP : 10698 - DAKAR;0;0
82;P-126-06/BD;86;01/06/2006;3523200;09/06/2006;12 mois;949-CT-06;Immeuble ECOBANK 5Ëme Ètage;0;0
83;P-081-07/BD;87;13/04/2007;3000000;30/04/2007;8 mois;1091-CT-07;BP 146 MBOUR;0;0
84;P-082-07/BD;88;13/04/2007;1500000;30/04/2007;15 jours ouvrables;1093-CT-07;Immeuble ECOBANK 5Ëme Ètage;0;0
85;P-088-08/NGD;89;23/04/2008;350000;23/04/2008;5 Jours ouvrables;1296-CT-08;"Avenue Cheikh A. Bamba x Rue 38
BP 12554 Colobane - DAKAR";0;0
86;P-079-08/EMK;91;23/04/2008;600000;23/04/2008;15 jours ouvrables;1297-CT-08;Boulevard du centenaire;0;0
87;P-086A-08/MP;92;24/04/2008;4550000;24/04/2008;5 mois;1298-CT-08;SONEPI LOT N∞4 BP 26285 - DAKAR;0;0
88;P-291C-07/NGD;93;25/04/2008;7000000;25/04/2008;12 mois;1300-CT-08;avenue Bourguiba /amitiÈ 3 N∞4334 DAKAR;0;0
89;P-073-08/BD;94;24/04/2008;8000000;25/04/2008;6 mois;1299-CT-08;avenue Bourguiba / libertÈ 1 villa N¯1036 DAKAR;0;0
90;P-090-08/MD;95;21/04/2008;6000000;21/04/2008;12 mois;1295-CT-08;Grand Dakar, derriËre la Mairie N∞30B - DAKAR;0;0
91;P-007A-08/MP;96;14/01/2008;932200;17/01/2008;;1241-CT-08;14, rue Galandou Diouf - DAKAR;0;0
92;P-310-07/BD;97;14/01/2008;400000;17/01/2008;;1243-CT-08;Immeuble  HAJJAR 1 er Ètage Point E - DAKAR;0;0
93;P-125A-06/SN;98;17/10/2006;2542372;09/01/2007;8 mois;1013-CT-06;102, rue carnot;0;0
94;06/139;99;08/08/2006;11500000;01/09/2006;14 mois;990-CT-06;AmitiÈ 3, villa N∞4334 Avenue Bourguiba;0;0
95;P-044A-08/BE;100;06/03/2008;4300000;10/03/2008;12 mois;1272-CT-08;4, rue Parent;0;0
97;P-083-08/NGD;102;11/04/2008;150000;;;1289-CT-08;"Avenue Bourguiba Rond Point jet d'eau en face CBAO
BP 6490 - DAKAR";0;0
98;P-089A-08/MD;104;25/04/2008;150000;25/04/2008;;1301-CT-08;Rue 2 x b Point E VILLA N∞5B BP 25 172 DAKAR-FANN;0;0
99;P-275B-05/NGD;105;08/05/2008;2141000;08/05/2008;;1310-CT-08;"Km 18, route de Rufisque 
BP  3835 - DAKAR";1;0
100;P-173A-05/BE-PE;106;22/07/2005;12000000;22/07/2005;16 mois;776-CT-05;"97, Rue Amadou Assane NDOYE
BP 1213 - DAKAR SENEGAL";1;0
102;06/142A;107;28/11/2008;17000000;19/01/2007;18 mois;;;0;0
103;06/142B;108;28/11/2006;14500000;;;1034-CT-06;;0;0
104;P-094-08/NGD;109;28/04/2008;847458;;;1302-CT-08;BP 14 268 - DAKAR;0;0
105;N¯07/152;110;19/07/2007;133000000;19/07/2007;36 MOIS;1151-CT-07;"Almadies Zone 10 - lot C
BP 8109 - DAKAR YOFF";0;0
106;P-101-08/NGD;111;28/04/2008;2900000;05/05/2008;6 mois;1304-CT-08;BP 12554-COLOBANE - DAKAR;0;0
107;P-093A-08/NGD;112;30/04/2008;1900000;05/05/2008;45 jours;1305-CT-08;Sicap sacrÈ coeur 3 villa N∞9343 - DAKAR;0;0
108;P-100-08/NGD;113;28/04/2008;1750000;05/05/2008;6 mois;1303-CT-08;BP 12554-COLOBANE - DAKAR;0;0
109;P-161-07/BE;114;19/10/2007;4500000;13/01/2008;12 mois;1201-CT-07;SICAP SACRE COEUR;0;0
110;P-195-07/BD;115;08/08/2007;2000000;04/09/2007;8 mois;1164-CT-07;sacrÈ coeur 3 villa N∞9141 - DAKAR;0;0
111;P-008A-08/BD;116;16/01/2008;1700000;07/02/2008;;1244-CT-08;AGETIP ;1;0
112;P-158-07/BE;117;03/07/2007;12288136;21/08/2007;12 mois;1139-CT-07;Avenue Bourguiba libertÈ I Villa N∞1036 - DAKAR;0;0
113;P-102-08/EMK;118;13/05/2008;150000;13/05/2008;05 JOURS OUVRABLES   ;1312-CT-08;SONEPI Lot  N∞4 BP 26285 - DAKAR;0;0
114; P-316-07/BD DU 13/12/07;119;13/05/2008;1750000;13/05/2008;7 mois;1311-CT-08;"Rue alioune Badara Mbengue x Bd. souleymane Bournel Diouf
BP 124 - FATICK";0;0
116;P104-08/MD;121;28/04/2008;200000;02/05/2008;;1307-CT-08;HLM 2 N∞ 416 - DAKAR ;0;0
118;P-098A-08/NGD;125;07/05/2008;1300000;19/05/2008;;1309-CT-08;"VILLA 2791 - OUAGAOU NIAYES
DAKAR";0;0
119;P-166-07/BD;126;06/07/2008;1363036;;6 mois;1142-CT-07;Km 2.5 Bd. du centenaire de la commune de DAKAR;0;0
120;2599;38;05/02/2008;1500000;26/02/2008;10 Jours ouvrÇs;1260-CT-08/1;"97, Avenue PEYTAVIN
BP 4111 - DAKAR";0;0
121;002599-2;127;05/02/2008;700000;26/02/2008;;1260-CT-08/2;"97, Avenue PEYTAVIN
BP 4111 - DAKAR";0;0
122;P-187-07/BD ;128;29/08/2007;3500000;04/09/2007;4 mois;1170-CT-07;"150, Bis Route de front de terre
BP 15939 - DAKAR";1;0
123;P-160A-07/BE;130;16/07/2007;5000000;07/09/2007;10 mois;1144-CT-07;"38 avenue Malick SY
DAKAR";0;0
124;P-065-08/MP;131;02/04/2008;300000;02/04/2008;5 jours ouvrables;1286-CT-08;Patte d'oie builder's N∞G24;0;0
125;P-265-07/BD;132;13/11/2007;1074300;04/01/2008;2 mois;1210-CT-07;Boulevard du Centenaire;0;0
126;P-020A-07/BD;133;07/02/2007;5084746;30/04/2007;;1066-CT-07;Avenue Bourguiba Liberte I Villa N∞1036 - DAKAR;0;0
127;P-246-07/BD;134;04/10/2007;4491526;04/10/2007;6 mois;1190-CT-07;01, place de l'indÈpendance - DAKAR;0;0
128;CONV. 07/150;135;07/06/2007;10000000;09/08/2007;16 mois;1119-CT-07;11, rue st michel - immeuble TAMARIS;0;0
129;P-128A-07/BD;136;29/05/2007;3200000;07/06/2007;;1113-CT-07;Grand Dakar, derriËre la Mairie N∞30B - DAKAR;1;0
130;P-248-07/BD;137;08/10/2007;2000000;09/11/2007;6 mois;1193-CT-07;"Quartier Escale - Rue de Paris
THIES";1;0
131;P-276-07/NGD;138;14/11/2007;2250000;13/01/2008;4 mois;1211-CT-07;libertÈ 6 N∞167 VDN BP 15923 - DAKAR;0;0
132;P-249-07/BD ;139;17/10/2007;1150000;13/01/2008;;1194-CT-07;;0;0
133;P-220-07/BD;140;30/11/2007;890000;04/01/2008;6 mois;1219-CT-07;;0;0
134;P-321-07/BD;141;24/12/2007;847458;13/01/2008;4 mois;1235-CT-07;;0;0
135;P-284A-07/MP;142;31/12/2007;600000;13/01/2008;4 mois;1236-CT-07;Point E Rue de St. LOUIS VILLA ANITA BIS;1;0
136;P-324-07/BD;143;15/05/2008;24000000;15/05/2008;;1313-CT-08;AGETIP / Monsieur Ababacar DIOUF Coordonnateur de l'UnitÈ de gestion santÈ et Education - Bd Djily Mbaye x BÈranger Ferraud / BP143 Dakar ;1;0
137;P-105A-08/NGD;144;20/05/2008;1500000;22/05/2008;;1314-CT-08;;0;0
139;P-108-08/ABK;146;05/05/2008;325000;05/05/2008;;1308-CT-08;;0;0
140;P-308A-07/BE;147;31/01/2008;4000000;05/05/2008;10 MOIS;1258-CT-08;123, Rue CARNOT DAKAR;0;0
141;P-104C-07/BD;148;20/12/2007;2460000;13/01/2008;10 mois;1234-CT-07;SacrÈ coeur 3  extension vdn Villa N∞10055 BP 7328 - DAKAR;0;0
142;P-272-07/BD;149;15/11/2007;2700000;13/01/2008;6 mois;1215-CT-07;"27, Bd. De la libÈration
BP 11535 - DAKAR";1;0
143;P-187B-06/BD;150;03/07/2007;1600000;12/07/2007;;1138-CT-07;VDN x Route du camp leclerc;0;0
144;P-119A-07/BD;151;07/06/2007;3000000;07/06/2007;;1118-CT-07;SacrÈ coeur III Villa N∞10055 BP 7328;0;0
145;P-314-07/BD;152;17/12/2007;600000;13/01/2008;6 mois;1229-CT-07;"Chambre des mÇtiers Fatick
BP 73";0;0
146;CONV. 07/151;153;18/06/2007;6779661;04/09/2007;12 mois;1148-CT-07;Immeuble ABIENA -111, Rue Joseph Gomis BP 2789 - DAKAR;0;0
148;P-255-07/BD;155;16/10/2007;1500000;13/01/2008;6 mois;1195-CT-07;Ouest Foire Villa N∞11;0;0
149;P-288-07/BD;156;15/11/2007;1200000;04/01/2008;8 mois;1212-CT-07;"Bd Djily Mbaye x BÈranger F erraud
bP 143 - DAKAR";1;0
150;P-285A-07/NGD;157;19/07/2007;2500000;13/01/2008;6 mois;1217-CT-07;"BD. Djily Mbaye x BÈranger Ferraud
BP 143 - DAKAR";1;0
151;P-301-07//BD;158;05/12/2007;200000;01/01/2008;;1226-CT-07;Km 4.8 Bd. DU CENTENAIRE DE LA COMMUNE;0;0
152;P-059-06/ND.N;159;15/05/2006;500000;01/09/2006;;938-CT-06;Scat urbam N∞078-DAKAR;0;0
154;P-117-08/NGD;161;22/05/2008;200000;22/05/2008;05 JOURS OUVRABLES   ;1316-CT-08;EGBER - Lot N∞ 8 Zone Industrielle  BP 174 - Dakar ;0;0
155;P-124-08/ABK;162;26/05/2008;200000;26/05/2008;05 JOURS OUVRABLES   ;1317-CT-08;ERCIEL AFRIQUE - Monsieur Alain MOLIN / CitÈ SIPRES 5 N∞ 693 - BP 690 Cap des Biches - Rufisque ;0;0
156;P-107-08/NGD;163;26/05/2008;4200000;26/05/2008;5 mois ;1318-CT-08;COSEC - Monsieur le directeur GÈnÈral / Avenue Malick SY X Autoroute - DAKAR ;0;0
157;P - 099-08 / NGD;164;27/05/2008;1200000;27/05/2008;15 JOURS OUVRABLES ;1319-CT-08;BHS - Monsieur le Directeur GÈnÈral / Bd GÈnÈral de gaulle BP 229 Dakar ;0;0
158;P -064-08/SN;165;28/05/2008;2800000;02/06/2008;1 mois Ö compter du dÇbut d ela mission;1320-CT-08;ATTIJARI BANK - 97, Avenue AndrÈ Peytavin BP 4111 DAKAR ;0;0
159;P114A-08/NGD;166;02/06/2008;4300000;02/06/2008;8 mois ;1321-CT-08;ATTIJARY BANK - 97, avenue AndrÈ Peytavin - DAKAR ;0;0
160;P-095-08/EMK;167;02/06/2008;350000;02/06/2008;une semaine Ö compter du dÇbut de la mission ;1322-CT-08;SERTEM - Monsieur le directeur 41, rue E Fann RÈsidence - BP 6640 - DAKAR ;0;0
163;P-074A-06/BD;171;02/11/2006;5423729;02/11/2006;12 mois;1020-CT-06;"Avenue cheikhe A.Bamba x rue 38
BP 12554 Colobane - DAKAR";0;0
164;P-247-07/NGD;172;31/10/2007;1600000;13/01/2008;7 mois;1204-CT-07;"Touba MosquÈe 
bP 1232";1;0
165;P-153-05/NGD;174;19/07/2005;2500000;09/08/2005;6 mois;773-CT-05;TOUBA;1;0
166;07/145;173;08/03/2007;18550000;20/03/2007;24 mois;1082-CT-07;;0;0
167;P-137-08/MD;170;09/06/2008;300000;09/06/2008;1jour ;1325-CT-08;Monsieur Malick CISSE - Ouakam CitÈ AssemblÈe lot N∞ 96;0;0
168;P178D-07/BE;175;13/06/2008;10000000;13/06/2008;18 mois ;1326-CT-08;FAS S/C Cabinet CAUS - immeuble rÈsidence rond point de l'OUA  Esc. B 1erÈtage N∞ 39 - DAKAR ;0;0
169;P-311-07/BD;176;13/06/2008;2000000;13/06/2008;3 mois ;1327-CT-08;ESCI - Monsieur le Directeur GÈnÈral ;0;0
170;P-120-08/EMK;177;13/06/2008;1700000;13/06/2008;10 mois;1328-CT-08;DTD - Commandement des FFCV CTC/BA 160 Monsieur ALMANZA HervÇ - BP 4031 DAKAR ;0;0
171;P-091-08/NGD;178;16/06/2008;850000;16/06/2008;15 jours ouvrables ;1329-CT-08;ICS - Monsieur le Directeur des Approvisionnements / Mbao - Km 18, Route de Rufisque BP 3835 - DAKAR ;0;0
172;P-141-08/NGD;179;16/06/2008;200000;16/06/2008;05 JOURS OUVRABLES   ;1330-CT-08;DAROU SALAM SARL / Monsieur le Directeur -GuÈdiawaye terminus Daroukhane - DAKAR ;0;0
173;P-132B-08/NGD;180;19/06/2008;2000000;19/06/2008;8 mois;1331-CT-08;ESTM S/C Cabinet AAGR - Immeuble Colonial Lambert Avenue Bourguiba DAKAR ;1;0
174;P-130A-08/SK;181;23/06/2008;450000;23/06/2008;45 jours ;1334-CT-08;SGBS - Monsieur Pierre G. SADIO Gestion du patrimoine et DÇveloppement du RÇseau - 19, Av.LÈopold SÈdar SENGHOR - DAKAR  ;0;0
175;P - 129A-08 / SK ;182;23/06/2008;500000;23/06/2008;45 jours ;1333-CT-08;SGBS - Monsieur Pierre G. SADIO Gestion du patrimoine et DÇveloppement du RÇseau - 19, Av.LÈopold SÈdar SENGHOR - DAKAR  ;0;0
177;P-154-08/NDN;184;24/06/2008;100000;24/06/2008;05 JOURS OUVRABLES   ;1335-CT-08;DABAKH Entreprise SARL - 1 CitÈ ISRA immeuble thiouth Bourguiba - DAKAR ;0;0
178;P - 143-08 / EMK;185;25/06/2008;400000;25/06/2008;1 semaine ;1336-CT-08;DTD - Commandement des FFCV - Monsieur ALMANZA HervÇ - CTO/BA 160 BP 4031 DAKAR ;1;0
179;P-112-08/NGD;186;26/06/2008;3800000;26/06/2008;12 mois ;1337-CT-08;F.I. 1, AllÈe de l'embarcadËre - Dakar ;0;0
180;P - 135A-08 / MP;187;26/06/2008;1000000;26/06/2008;4 mois ;1338-CT-08;KHAIRA BTP - Monsieur le Directeur  Patte d'Oie Builders N∞ D11 - BP1561 DAKAR ;0;0
181;P-158-08/EMK;188;27/06/2008;600000;27/06/2008;05 JOURS OUVRABLES   ;1339-CT-08;CDE - Monsieur le Directeur / Avenue FÈlix ebouÇ x Bd Maritime - Bel Air  / BP 2384 DAKAR ;0;0
182;P-142A-08/NGD ;189;27/06/2008;2000000;27/06/2008;6 mois ;1340-CT-08;SATEC SUARL - Monsieur Ali NDIAYE Avenue Seydou Nourou TALL X Diogoye Basile SENGHOR - MBOUR ;0;0
183;P-131-08/NGD;168;06/06/2008;450000;06/06/2008;;1323-CT-08;;0;0
184;P-155A-08/BE;190;30/06/2008;2400000;02/07/2008;5 mois / logement ;1341-CT-08;Immeuble B Fronte rÈsidence N∞B01;0;0
185;P-139A-08/BE;191;30/06/2008;31000000;30/06/2008;24 mois;1342-CT-08;67 Ouest foire - DAKAR ;0;0
186;P-161-08/EMK;192;30/06/2008;100000;01/07/2008;0;1343-CT-08;12, bis route du front de terre - DerklÈ;0;0
187;P-162A-08/SN ;193;01/07/2008;1271186;02/07/2008;;1344-CT-08;32, rue Victor HUGO;0;0
188;P-121A-08/EMK;194;09/06/2008;2100000;01/07/2008;;1345-CT-08;;0;0
189;P-163-08/MP;195;04/07/2008;100000;07/07/2008;05 JOURS OUVRABLES   ;1346-CT-08;HLM VI face CitÈ douaniers ;0;0
190;P-122-08/EMK;196;07/07/2008;1000000;07/07/2008;05 JOURS OUVRABLES   ;1347-CT-08;Route des Almadies - DAKAR ;0;0
191;P-168-08/NGD;197;07/07/2008;1800000;08/07/2008;5 mois ;1348-CT-08;kM 14, route de Rufisque - DAKAR ;0;0
192;P-004-08/BD;198;10/07/2008;2000000;10/07/2008;05 jours ouvrables par visa ;1349-CT-08;BP 4031 - DAKAR ;0;0
193;AVENANT P-246-07/BD;199;14/07/2008;350000;14/07/2008;05 JOURS OUVRABLES  ;1351-CT-08;Rue B Point E ;0;0
194;ORDRE DE SERVICE N∞2;200;14/07/2008;13248016;14/07/2008;04 MOIS ;1350-CT-08;DAKAR ;1;0
195;P-227-07/BE;201;18/07/2008;19500000;08/05/2008;17 mois ;1352-CT-08;Almadies, villa N∞ 5 zone 14 - DAKAR ;0;1
196;P-175-08/NGD ;202;21/07/2008;500000;21/07/2008;05 JOURS OUVRABLES   ;1353-CT-08;1, AllÈe de l'embarcadËre  - DAKAR ;0;0
197;P-182-08/NGD ;203;21/07/2008;150000;21/07/2008;05 JOURS OUVRABLES   ;1354-CT-08;4, route de l 'Aeroport - Dakar Yoff;1;0
198;P-190-08/NGD ;205;25/07/2008;350000;25/07/2008;05 JOURS OUVRABLES ;1356-CT-08;12, bis route du front de terre - DerklÈ;0;0
199;P-164A-08/SN ;207;28/07/2008;4300000;28/07/2008;45 jours ;1357-CT-08;Centre de Hann - Route du Front de terre ;0;1
200;P-184-08/MD;206;22/07/2008;300000;22/07/2008;05 JOURS OUVRABLES   ;1355-CT-08;HLM2  - N∞ 416;0;0
201;P-169B-08/BE ;208;30/07/2008;15665000;01/08/2008;1 mois;1358-CT-08;Avenue Jean XXIII - DAKAR ;1;0
202;P-200-08/EMK;209;05/08/2008;150000;07/08/2008;1 jour ;1359-CT-08;CitÈ SIPRES 5 N∞ 693 Cap des biches - Rufisque ;0;0
203;P-199-08/NGD;210;06/08/2008;450000;06/08/2008;05 JOURS OUVRABLES   ;1360-CT-08;82, SacrÈ coeur III VDN ;0;0
204;P-192/2-08/NGD;211;13/08/2008;750000;13/08/2008;5 jours ouvrables ;1361-CT-08;DAKAR ;0;0
205;P-208-08/NGD;212;13/08/2008;100000;14/08/2008;5 jours ouvrables ;1362-CT-08;12, bis route du front de terre - DerklÈ;0;0
206;P-202-08/SK;213;14/08/2008;2500000;18/08/2008;2 mois ;1363-CT-08;Boulevard de la rÇpublique;0;0
207;P-2058B-08/EMK;214;18/08/2008;300000;19/08/2008;1 journÇe ;1364-CT-08;SCI SEDHIOU-68 Rue wagane DIOUF x A.A. NDOYE - DAKAR ;0;0
208;P-306B-07/SK;215;21/08/2008;9900504;21/08/2008;12 mois;1365-CT-08;Rufisque ;0;0
209;P-216-08/NGD ;216;27/08/2008;150000;27/08/2008;5 JOURS OUVRABLES ;1366-CT-08;Rue 20x27 MÈdina - Dakar ;0;0
210;P-210-08/EMK;217;28/08/2008;1750000;29/08/2008;5 MOIS ;1367-CT-08;SONEPI N∞14 BP 26285;0;0
211;P-212-08/MP;218;29/08/2008;1500000;29/08/2008;7 mois ;1368-CT-08;HLM4  - N∞ 1467 bis ;1;0
212;P-221-08/NGD ;219;05/09/2008;300000;05/09/2008;05 JOURS OUVRABLES   ;1369-CT-08;HLM Grand Yoff villa N∞ 670 Dakar ;0;0
213;P-159A-08/NGD;220;05/09/2008;1000000;08/09/2008;0;1370-CT-08;"KM 5; Avenue Cheikh A. Diop x avenue des Ambassadeurs Dakar Fann ";0;0
214;P-226-08/MD;221;09/09/2008;150000;09/09/2008;5 jours ouvrables ;1371-CT-08;Rue 7 x g point E N∞ 5 ;0;0
215;P-218-08/NGD;222;10/09/2008;550000;10/09/2008;15 jours ouvrables ;1372-CT-08;CitÈ TP SOM N∞ 4 HANN;0;0
216;P-115A-08/NGD;223;16/09/2008;1700000;16/09/2008;;1373-CT-08;263, Grans standing THIES ;0;0
217;P-195-08/EMK ;224;16/09/2008;300000;16/09/2008;;1374-CT-08;Rond Point Castors ;0;0
218;P-078A-08/SK;225;17/09/2008;2000000;17/09/2008;3 mois ;1375-CT-08;Avenue Bourguiba LibertÈ I villa N∞1036 - DAKAR ;0;0
219;P-230B-08/NGD;226;18/09/2008;2754237;18/09/2008;8 mois ;1376-CT-08;KM 4.8 Bd du Centenaire de la Commune de Dakar ;0;0
220;P-236-08/NGD ;227;18/09/2008;3200000;18/09/2008;12 mois ;1377-CT-08;Canal 4, avenue Cheikh Anta DIOP;0;0
221;P-238-08/MFF;228;19/09/2008;84746;19/09/2008;5 jours ouvrables ;1378-CT-08;Lot N∞ 8  Zone Industrielle - DAKAR ;0;0
223;P-196A-08/EMK  BC N∞0001431;230;23/09/2008;500000;23/09/2008;;1380-CT-08;19, Av. LÈopold SÈdar SENGHOR - DAKAR ;0;0
224;P-203B-08/EMK ;232;26/09/2008;450000;07/10/2008;1 journÇe ;1381-CT-08;Sicap AmitiÈ 3 - N∞ 4373 - DAKAR ;0;0
225;P-247-08/MP;233;03/10/2008;100000;03/10/2008;5 JOURS OUVRABLES ;1382-CT-08;;0;0
226;P-253-08/ABK;234;08/10/2008;350000;08/10/2008;05 JOURS OUVRABLES   ;1383-CT-08;3, rue de Potou - Dakar ;0;0
227;P-242A-08/SN;235;09/10/2008;500000;09/10/2008;1semaine ;1384-CT-08;RUFISQUE ;0;0
228;P-255-08/ABK;236;09/10/2008;400000;13/10/2008;5 jours ouvrables ;1385-CT-08;Km 11 x EntrÈe Pikine - DAKAR;0;0
229;P-185A-08/EMK - BC N∞C8005;237;13/10/2008;250000;14/10/2008;1 journÇe ;1386-CT-08;CitÈ SIPRES 5 N∞ 693 Cap des biches - Rufisque ;0;0
230;P-181A-08/EMK;238;13/10/2008;500000;27/10/2008;1 journÇe ;1387-CT-08;Ngaparou - MBOUR ;0;0
231;P-256-08/EMK;239;13/10/2008;100000;14/10/2008;1 journÇe ;1388-CT-08;CitÈ SIPRES 5 N∞ 693 Cap des biches - Rufisque ;0;0
232;P-252A-08/NGD;240;15/10/2008;500000;21/10/2008;5 JOURS OUVABLES ;1389-CT-08;36, Nord Foire - DAKAR ;0;0
233;P-109A-06/BD;241;10/07/2006;3300000;10/07/2006;7 mois;972-CT-06;"Bd Djily Mbaye x BÈranger F erraud
bP 143 - DAKAR";1;0
234;P-257-08/NGD;242;03/11/2008;500000;31/10/2008;5 jours ouvrables ;1392-CT-08;Scat urbam Maristes - Dakar ;0;0
